name,generation,price,ubication
Bajaj Pulsar Ns 200 Fi 2024 Manizales,2023,11899000 pesos,Manizales - Caldas
Bajaj Dominar 400 Touring Abs 2024 Manizales,2023,18149000 pesos,Manizales - Caldas
Xpulse 200 Fi,2023,12049000 pesos,Barrios Unidos - Bogotá D.C.
Honda Pcx 160 Abs 2024 Medellín ,2024,17550000 pesos,Medellín - Antioquia
Honda Pcx 160 Abs 2024 7 De Agosto,2024,17550000 pesos,Barrios Unidos - Bogotá D.C.
Suzuki Gixxer Sf Fi Abs 150 Modelo 2024,2024,12097000 pesos,Barrios Unidos - Bogotá D.C.
Honda Xr150l 2024 Pereira ,2023,11130000 pesos,Pereira - Risaralda
Honda Xr150l 2024 Barranquilla ,2023,11130000 pesos,Barranquilla - Atlántico
Honda Xr150l 2024 Cartagena,2023,11130000 pesos,Cartagena De Indias - Bolívar
Honda Xr150l 2024 Medellín ,2023,11130000 pesos,Medellín - Antioquia
Honda Xr150l 2024 7 De Agosto,2023,11130000 pesos,Barrios Unidos - Bogotá D.C.
Honda Xr150l 2024 Cali,2023,11130000 pesos,Cali - Valle Del Cauca
Pulsar N250,2024,14390000 pesos,Medellín - Antioquia
Honda Pcx 160 Abs 2024 Cali,2024,17550000 pesos,Cali - Valle Del Cauca
Discover 125,2023,7424000 pesos,Engativa - Bogotá D.C.
Dominar D400 Touring 2024,2024,18149000 pesos,Teusaquillo - Bogotá D.C.
Pulsar Ns 200 Pulsarmania,2024,12199000 pesos,Medellín - Antioquia
Discover 125 St-r,2024,7750000 pesos,Engativa - Bogotá D.C.
"Honda , Pcx 150 Dlx, Modelo 2023 ",2023,16300000 pesos,Barrios Unidos - Bogotá D.C.
Tvs Raider 2024,2024,7699999 pesos,Barrios Unidos - Bogotá D.C.
Bajaj Boxer Ct 125,2024,6850000 pesos,Medellín - Antioquia
Ktm Duke 200 Cc  Nueva Bucaramanga,2023,14590000 pesos,Bucaramanga - Santander
Pulsar N 250,2023,13750000 pesos,Engativa - Bogotá D.C.
Pulsar Rs 200 Fi Abs,2023,13774000 pesos,Teusaquillo - Bogotá D.C.
Pulsar Ns 125 Cali ,2024,7699000 pesos,Cali - Valle Del Cauca
Bajaj Discover 125 St-r,2024,7750000 pesos,Medellín - Antioquia
Ktm Rc 200 Ng,2023,20990000 pesos,Barrios Unidos - Bogotá D.C.
Tvs Apache 200 2024,2022,11399999 pesos,Barrios Unidos - Bogotá D.C.
Cuatrimoto 110cc Niño 4 Tiempos Gasolina,2022,4899900 pesos,Pereira - Risaralda
Brp Can Am Maverick Trail,2023,99990000 pesos,Chapinero - Bogotá D.C.
Yamaha Xtz 250 Modelo 2024 0 Km ,2024,25100000 pesos,Medellín - Antioquia
Bajaj Dominar D400,2023,17574000 pesos,Bello - Antioquia
Bajaj Pulsar Ns 200 Fi  2024 Pereira,2023,11899000 pesos,Manizales - Caldas
Bajaj Discover 125 St- R 2024 Pereira,2023,7674000 pesos,Pereira - Risaralda
Can-am Maverick X3 Rs Turbo Rr,2023,244791000 pesos,Medellín - Antioquia
Hunk 160r,2023,9999000 pesos,Barrios Unidos - Bogotá D.C.
Honda Cb 125f,2024,3491300 pesos,Suba - Bogotá D.C.
Honda Pcx 160 Abs 2024 Pereira ,2024,17550000 pesos,Pereira - Risaralda
Seatmo125,2023,34490000 pesos,Engativa - Bogotá D.C.
Honda Xre300 Abs Dlx 2024 Pereira ,2023,31100000 pesos,Pereira - Risaralda
Honda Xre300 Abs Dlx 2024 Barranquilla ,2023,31100000 pesos,Barranquilla - Atlántico
Honda Xre300 Abs Dlx 2024 Cartagena ,2023,31100000 pesos,Cartagena De Indias - Bolívar
Honda Xre300 Abs Dlx 2024 Medellín ,2023,31100000 pesos,Medellín - Antioquia
Honda Xre300 Abs Dlx 2024 7 De Agosto,2023,31100000 pesos,Barrios Unidos - Bogotá D.C.
Honda Xre300 Abs Dlx 2024 Cali,2023,31100000 pesos,Cali - Valle Del Cauca
Honda Wave110s 2024 Pereira ,2023,7770000 pesos,Pereira - Risaralda
Honda Wave110s 2024 Barranquilla ,2023,7770000 pesos,Barranquilla - Atlántico
Honda Wave110s 2024 Cartagena ,2023,7770000 pesos,Cartagena De Indias - Bolívar
Honda Wave110s 2024 Medellín ,2023,7770000 pesos,Medellín - Antioquia
Honda Wave110s 2024 7 De Agosto,2023,7770000 pesos,Barrios Unidos - Bogotá D.C.
Honda Wave110s 2024 Cali,2023,7770000 pesos,Cali - Valle Del Cauca
Honda Xr190l 2024 Medellín ,2023,14315000 pesos,Medellín - Antioquia
Boxer 150 X,2024,6899000 pesos,Antonio Nariño - Bogotá D.C.
Honda Xblade160 Abs 2024 Medellín,2023,11600000 pesos,Medellín - Antioquia
Honda Xblade160 Abs 2024 Pereira,2023,11600000 pesos,Pereira - Risaralda
Honda Xblade160 Abs 2024 Cartagena,2023,11600000 pesos,Cartagena De Indias - Bolívar
Honda Xblade160 Abs 2024 Barranquilla,2023,11600000 pesos,Barranquilla - Atlántico
Honda Xblade160 Abs 2024 7 De Agosto,2023,11600000 pesos,Barrios Unidos - Bogotá D.C.
Honda Xblade160 Abs 2024 Cali,2023,11600000 pesos,Cali - Valle Del Cauca
Honda Cb125f 2024 Cali.,2023,7500000 pesos,Cali - Valle Del Cauca
Honda Cb125f 2024 Pereira ,2023,7500000 pesos,Pereira - Risaralda
Honda Cb125f 2024 Barranquilla,2023,7500000 pesos,Barranquilla - Atlántico
Honda Cb125f 2024 Cartagena ,2023,7500000 pesos,Cartagena De Indias - Bolívar
Honda Cb125f 2024 Medellín,2023,7500000 pesos,Medellín - Antioquia
Honda Cb125f 2024 7 De Agosto,2023,7500000 pesos,Barrios Unidos - Bogotá D.C.
Pulsar Ns 125 ,2023,7524000 pesos,Engativa - Bogotá D.C.
Honda Cb125f 2024 Popayán,2023,7500000 pesos,Popayán - Cauca
Pulsar Ns 200 Fi ,2023,11199000 pesos,Ciudad Bolívar - Bogotá D.C.
Boxer Ct 125,2023,6549000 pesos,Bogota - Cundinamarca
Lleva Tu Nueva Moto Bajaj Cero Kilómetros,2023,11624000 pesos,Engativa - Bogotá D.C.
Pulsar Ns 200 Fi,2024,11899000 pesos,Engativa - Bogotá D.C.
Svartpilen 200. Nuevo Color ,2023,17990000 pesos,Kennedy - Bogotá D.C.
Ktm 200 Duke Acc ,2023,14590000 pesos,Kennedy - Bogotá D.C.
Apache 200 Fi Abs La Mas Completa En Su Segmento ,2023,13599000 pesos,Kennedy - Bogotá D.C.
"Honda, Cb 190 R, Modelo 2023 ",2023,13750000 pesos,Barrios Unidos - Bogotá D.C.
Benelli Trk 251 2022,2022,21490000 pesos,Barrios Unidos - Bogotá D.C.
Dominar 400 Touring Ug2,2023,17724000 pesos,Cali - Valle Del Cauca
Discover Str 125 Credito Para Moto Valle Cali,2023,7424000 pesos,Cali - Valle Del Cauca
Dominar 400 Pro Touring,2023,18149000 pesos,Cali - Valle Del Cauca
Pulsar Ns 200 Fi 2023,2023,11899000 pesos,Engativa - Bogotá D.C.
Bajaj Pulsar Ns 200 Fi 2024 Edicion Pulsar Mania,2023,12199000 pesos,Antonio Nariño - Bogotá D.C.
Pulsar 180 Fi Neon Bajaj,2023,9274000 pesos,Engativa - Bogotá D.C.
Dominar 400 2023 Bogotá,2022,17574000 pesos,Engativa - Bogotá D.C.
Pulsar Ns 200 Fi Abs 2023 Bogotá,2022,13024000 pesos,Engativa - Bogotá D.C.
Pulsar 180 Fi Gt,2023,9274000 pesos,Engativa - Bogotá D.C.
Duke 200 Ng 2023,2023,16990000 pesos,Barrios Unidos - Bogotá D.C.
Moto Victory Zontes 155 U Nueva Bucaramanga,2024,15490000 pesos,Bucaramanga - Santander
Moto Ktm 200 Duke Ng Nueva Bucaramanga,2023,16990000 pesos,Bucaramanga - Santander
Tvs Apache 200 Fi Abs 2024,2023,13299999 pesos,Usaquén - Bogotá D.C.
Tvs Apache 160 4v 2024,2024,9699999 pesos,Barrios Unidos - Bogotá D.C.
Moto Cross Highper 50cc 2tiempos Gasolina,2023,6200000 pesos,Medellín - Antioquia
Bajaj Boxer Ct 100 Es ,2024,6350000 pesos,Bello - Antioquia
Bajaj Pulsar N250,2023,13999000 pesos,Bello - Antioquia
Bajaj Discover 125 St R ,2023,7750000 pesos,Bello - Antioquia
Ducati Multistrada V4 Pikes Peak 2023,2023,173000000 pesos,Medellín - Antioquia
Honda Dio 110 - 2023,2023,7400000 pesos,Usaquén - Bogotá D.C.
Honda Cb125f 2024 - 0km,2024,7500000 pesos,Usaquén - Bogotá D.C.
Yamaha Ycz110 Modelo 2024,2024,6600000 pesos,Medellín - Antioquia
Motocicleta Aprilia Tuono V4 1100 2022 Nueva 0km Disponible,2022,94990000 pesos,Suba - Bogotá D.C.
Honda Xr 190l 0km - 2024,2023,14315000 pesos,Usaquén - Bogotá D.C.
Vespa Vxl 150cc Azul 2023,2023,14990000 pesos,Chapinero - Bogotá D.C.
Motocarro Ayco Tipo Volqueta Doble Llanta ,2023,23900000 pesos,Engativa - Bogotá D.C.
Dominar 400 Pro Touring ,2023,17724000 pesos,Medellín - Antioquia
Benelli 180 S 2023,2023,12949000 pesos,Kennedy - Bogotá D.C.
Bomber 125,2023,5349000 pesos,Kennedy - Bogotá D.C.
Boxer 150x,2024,6899000 pesos,Medellín - Antioquia
Motocicleta Aprilia Rs660 Lava Red 2022 0km Disponible ,2022,69989000 pesos,Suba - Bogotá D.C.
Yamaha Fz-15 Black Gold  Edición Exclusiva Modelo 2024,2024,10850000 pesos,Medellín - Antioquia
Eco Deluxe Cw Hero 2023,2022,5990000 pesos,Popayán - Cauca
Pulsar Ns 200 Fi Abs,2024,13399000 pesos,Medellín - Antioquia
Victory Black 171 2024,2023,12990000 pesos,Kennedy - Bogotá D.C.
Moto Cross 50cc Para Niños A Gasolina,2023,2200000 pesos,Medellín - Antioquia
Yamaha Crypton Dark Edición Especial Modelo 2024,2024,8520000 pesos,Medellín - Antioquia
Honda Xr 150l- 2023,2023,11130000 pesos,Usaquén - Bogotá D.C.
Bajaj Pulsar Ns 160 Fi ,2024,9999000 pesos,Medellín - Antioquia
Bajaj Boxer S,2024,5499000 pesos,Medellín - Antioquia
Bajaj Dominar 250 ,2023,14449000 pesos,Medellín - Antioquia
Bajaj Dominar 400,2023,17574000 pesos,Medellín - Antioquia
Motocarro Torito Sencillo 2023 ,2022,16700000 pesos,Engativa - Bogotá D.C.
Remolque Para Motos ,2023,8500000 pesos,Engativa - Bogotá D.C.
Hero Xpulse 200 Fi Advance - 2024,2024,12399000 pesos,Puente Aranda - Bogotá D.C.
Pulsar Ns 200 Fi Abs Pulsarmania,2023,13324000 pesos,Engativa - Bogotá D.C.
Polaris Rzr 1000 Xp 2022,2022,164900000 pesos,Pereira - Risaralda
Pulsar 180 Fi,2023,9274000 pesos,Bogota - Cundinamarca
Yamaha Szrr 2.0 Dark Edición Especial Modelo 2024,2024,9600000 pesos,Medellín - Antioquia
Moto Eléctrica Aima ,2022,9990000 pesos,Kennedy - Bogotá D.C.
Yamaha Fz 150 Edicion Especial Black Gold Modelo 2024 0 Km ,2024,10850000 pesos,Medellín - Antioquia
Tvs Apache Rtr 200 4v  Xconnect Nueva Bucaramanga,2023,11499999 pesos,Bucaramanga - Santander
Bajaj Boxer Ct 100 Ks ,2024,5999000 pesos,Medellín - Antioquia
Yamaha Xtz 250 Nuevo Diseño  Modelo 2024,2024,25500000 pesos,Medellín - Antioquia
Yamaha Fz 150 Modelo 2024 0 Km ,2024,10600000 pesos,Medellín - Antioquia
Bajaj Pilsarmania Ns 160 Fi - 2024,2024,10299000 pesos,Puente Aranda - Bogotá D.C.
Suzuki Gixxer 250 - 2024,2024,15580000 pesos,Puente Aranda - Bogotá D.C.
Bajaj Pulsar Ns 200 Fi - 2024 ,2024,11899000 pesos,Puente Aranda - Bogotá D.C.
 Bajaj Dominar 400 Touring,2024,18149000 pesos,Puente Aranda - Bogotá D.C.
Motocarro Con Gato Hidráulico Natsuki  2023,2023,18090000 pesos,Barranquilla - Atlántico
Suzuki Gixxer Fi 150 Abs  - 2024,2024,14860000 pesos,Puente Aranda - Bogotá D.C.
Suzuki Dr 150 - 2024,2024,11130000 pesos,Puente Aranda - Bogotá D.C.
Suzuki Gixxer Fi 150 Abs,2024,11147000 pesos,Puente Aranda - Bogotá D.C.
Yamaha Nmax Connect,2023,17600000 pesos,Medellín - Antioquia
Bajaj,2023,11324000 pesos,Antonio Nariño - Bogotá D.C.
Moto Eléctrica Qs Vesper ,2022,6000000 pesos,Kennedy - Bogotá D.C.
Moto Eléctrica Mika,2022,5100000 pesos,Kennedy - Bogotá D.C.
Bicicleta Eléctrica 350 W,2022,3500000 pesos,Kennedy - Bogotá D.C.
Moto Eléctrica Qs Tritón,2022,4500000 pesos,Kennedy - Bogotá D.C.
Dominar 400 Touring Modelo 2023,2023,17724000 pesos,Engativa - Bogotá D.C.
Automaticas Suzuki,2023,7709000 pesos,Bogota - Cundinamarca
Motocarro Forza Con Cabina 2022,2023,18390000 pesos,Barranquilla - Atlántico
Yamaha Fz 150 2024,2024,10500000 pesos,Antonio Nariño - Bogotá D.C.
Harley Davidson Fatboy 114,2022,154800000 pesos,Medellín - Antioquia
Akt Ttds  200 Rally 2024 ¡llévala Con Bono De $300.000!,2023,9690000 pesos,Medellín - Antioquia
Moto Pitbike Enduro Motocross Apollo Aiii 190cc Plr,2023,12499900 pesos,Usaquén - Bogotá D.C.
Moto Victory Switch 150cc Nueva Bucaramanga,2023,8439000 pesos,Bucaramanga - Santander
Harley Davidson Pan America Special Enthusiast,2022,164800000 pesos,Medellín - Antioquia
Akt Nkd 125 2024,2024,5600000 pesos,Antonio Nariño - Bogotá D.C.
Motocross Para Niño,2022,1700000 pesos,Antonio Nariño - Bogotá D.C.
Motocross Para Niño,2022,1700000 pesos,Antonio Nariño - Bogotá D.C.
Yamaha Ybr 125 2024,2024,8300000 pesos,Antonio Nariño - Bogotá D.C.
Harley Davidson Sportglide 107,2022,129800000 pesos,Medellín - Antioquia
Harley Davidson Fatbob 114,2022,154800000 pesos,Medellín - Antioquia
Apache 160 4v Modelo 2024 ¡finánciala Solo Con Tu Cedula!,2023,9699999 pesos,Medellín - Antioquia
Moto Enduro - Victory Mrx- 125cc Nueva Bucaramanga,2024,8339000 pesos,Bucaramanga - Santander
Highper 110cc,2023,5700000 pesos,Medellín - Antioquia
Harley Davidson Fat Boy 114,2022,150800000 pesos,Barranquilla - Atlántico
Motocarro Cabinado Natsuki 2023,2023,20590000 pesos,Barranquilla - Atlántico
Honda Xre 300,2023,24800000 pesos,Medellín - Antioquia
Dash 125 Fi,2022,7990000 pesos,Popayán - Cauca
Boxer Ct 100 Ks Modelo 2024 ¡aprovecha Bono $300.000! ,2023,5999000 pesos,Medellín - Antioquia
Tvs Sport 100 Els 2024 ¡financiala Con Tu Cedula! ,2023,6349999 pesos,Medellín - Antioquia
Duke 200 2023 ¡la Mejor Opcion Para Estrenar!,2023,14590000 pesos,Medellín - Antioquia
Cuatrimoto Moto Plr 125cc Ranchera Motor 4t,2023,6899900 pesos,Usaquén - Bogotá D.C.
Cuatrimoto Plr 125cc Raptor Semiautomatica Motor 4t,2023,6699900 pesos,Usaquén - Bogotá D.C.
Cuatrimoto 200cc Commander Ranchera 2022 Polar P L R,2023,11999900 pesos,Usaquén - Bogotá D.C.
Yamaha Crypton  Fi Modelo 2024 0 Km,2024,8400000 pesos,Medellín - Antioquia
 Yamaha Fz25  Modelo 2024 0 Km,2024,15450000 pesos,Medellín - Antioquia
Mrx Arizona 200 Modelo 2024 ¡fácil Financiación!,2024,11490000 pesos,Medellín - Antioquia
Polaris ,2022,65000000 pesos,Barrios Unidos - Bogotá D.C.
Moto Cuatrimoto Plr Raptor 200 Cc,2022,11999900 pesos,Pereira - Risaralda
Harley Davidson Fatbob ,2022,154800000 pesos,Medellín - Antioquia
Aprilia Sr 160 Motard Abs Modelo 2023,2023,13490000 pesos,Suba - Bogotá D.C.
Harley Davidson Road King,2022,150800000 pesos,Barranquilla - Atlántico
Moto Guzzi V7 Stone 850 ,2022,64990000 pesos,Suba - Bogotá D.C.
Motocarro Furgon Aluminio Natsuki ,2023,22140000 pesos,Barranquilla - Atlántico
Dominar 400 Touring 2024 ¡llévala Con Bono De $400.000!,2023,18149000 pesos,Medellín - Antioquia
Dominar 400 Pro Sport,2023,17574000 pesos,Medellín - Antioquia
Cuatrimoto Apollo Cuatrimoto Raptor,2023,6900000 pesos,Medellín - Antioquia
Yamaha Fz-15 Storm Edición Exclusiva Modelo 2024,2024,11050000 pesos,Medellín - Antioquia
Yamaha Fz 25 Abs Panda Edición Exclusiva Modelo 2024,2024,15550000 pesos,Medellín - Antioquia
Cuatrimoto 110cc Niño 4 Tiempos Gasolina Plr,2023,4899900 pesos,Usaquén - Bogotá D.C.
Bajaj Pulsar N250 - 2024,2024,13999000 pesos,Puente Aranda - Bogotá D.C.
Motocarro Forza Natsuki 2022 ,2023,15890000 pesos,Barranquilla - Atlántico
Harley -davidson-107 Flsb,2022,134800000 pesos,Barranquilla - Atlántico
Honda Dio 110 Dlx 2024 Pereira ,2023,7595000 pesos,Pereira - Risaralda
Honda Dio 110 Dlx 2024 Cartagena ,2023,7595000 pesos,Cartagena De Indias - Bolívar
Honda Dio 110 Dlx 2024 Barranquilla ,2023,7595000 pesos,Barranquilla - Atlántico
Honda Dio 110 Dlx 2024 Medellín ,2023,7595000 pesos,Medellín - Antioquia
Honda Dio 110 Dlx 2024 7 De Agosto,2023,7595000 pesos,Barrios Unidos - Bogotá D.C.
Vespa Sprint 150 Edición Especial 2023,2023,39990000 pesos,Suba - Bogotá D.C.
