name,generation,price,city,departament
Bóxer Bm 150 X ,2024,6899000.0,Teusaquillo , Bogotá D.C.
Bajaj Boxer Ct 100 Es 2024 Manizales,2023,6350000.0,Manizales , Caldas
Triumph Tiger 1200 Rally Explorer,2023,159990000.0,Medellín , Antioquia
Pulsar 180 Fi Pro A Credito Bogota ,2024,9649000.0,Antonio Nariño , Bogotá D.C.
Pulsar Rs 200 2023,2023,13774000.0,Antonio Nariño , Bogotá D.C.
Boxer Ct 125,2024,6850000.0,Engativa , Bogotá D.C.
Bajaj Discover S-t-r 125 Modelo 2023,2023,7424000.0,Engativa , Bogotá D.C.
Discover 125 St,2023,7750000.0,Teusaquillo , Bogotá D.C.
Pulsar Rs 200 Fi Abs 2023,2023,13774000.0,Teusaquillo , Bogotá D.C.
Pulsar Ns 200 Fi Abs 2023 Pulsarmania,2023,13324000.0,Teusaquillo , Bogotá D.C.
Pulsar Ns 200 Fi,2023,10999000.0,Engativa , Bogotá D.C.
"Honda Pcx 160 Abs , Modelo 2024",2024,17550000.0,Barrios Unidos , Bogotá D.C.
Pulsar 180 Fi ,2023,9274000.0,Antonio Nariño , Bogotá D.C.
Dominar 400 ,2023,17499000.0,Engativa , Bogotá D.C.
Pulsar 160 Fi Bajaj Abs,2023,10499000.0,Cali , Valle Del Cauca
Boxer Ct 100 Es 2023 Bogotá,2023,5849000.0,Engativa , Bogotá D.C.
Pulsar  160 Fi Abs 2023 Bogotá,2022,10074000.0,Engativa , Bogotá D.C.
Discover St 125 Credito ,2023,7424000.0,Engativa , Bogotá D.C.
Cross 60cc A Gasolina Para Niños Pitbike,2023,2200000.0,Medellín , Antioquia
Yamaha Mt 15 Modelo 2024 O Km,2023,16000000.0,Medellín , Antioquia
Seat Mó*,2023,34490000.0,Suba , Bogotá D.C.
Pulsar 180 Fi,2023,9399000.0,Antonio Nariño , Bogotá D.C.
Pulsarmania 160 Fi ,2023,10299000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 160 Fi Abs ,2023,10499000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 125 ,2023,7699000.0,Antonio Nariño , Bogotá D.C.
Vstrom 650 Modelo 2024,2024,51209000.0,Barrios Unidos , Bogotá D.C.
Pulsar Ns 200 Fi,2023,11324000.0,Antonio Nariño , Bogotá D.C.
Dominar 400,2023,17599000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 200 Fi,2024,11899000.0,Antonio Nariño , Bogotá D.C.
Dominar 400 A Credito Bogota ,2024,17999000.0,Antonio Nariño , Bogotá D.C.
Pulsar 180 Fi Pulsarmania ,2023,9474000.0,Engativa , Bogotá D.C.
Pulsar Ns 160 Fi ,2023,9499000.0,Ciudad Bolívar , Bogotá D.C.
Bajaj Boxer Ct 125 ,2023,6549000.0,Engativa , Bogotá D.C.
